City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto leguizamo,-0.1934,-74.7819,21.77,98,100,1.16,CO,1676081253
1,hobart,-42.8794,147.3294,22.37,67,75,4.63,AU,1676080779
2,rikitea,-23.1203,-134.9692,26.53,75,100,7.85,PF,1676081254
3,hofn,64.2539,-15.2082,2.82,81,100,1.15,IS,1676081255
4,mahebourg,-20.4081,57.7,26.25,74,7,4.28,MU,1676081256
5,calama,-22.4667,-68.9333,17.27,42,0,4.12,CL,1676081048
6,cape town,-33.9258,18.4232,21.82,68,0,0.89,ZA,1676081133
7,east london,-33.0153,27.9116,21.73,81,87,3.57,ZA,1676081257
8,paamiut,61.994,-49.6678,-17.53,88,75,3.88,GL,1676081257
9,lufilufi,-13.8745,-171.5986,31.88,78,74,6.38,WS,1676081258
10,jumla,29.2747,82.1838,3.59,46,0,1.81,NP,1676080984
11,barrow,71.2906,-156.7887,-23.99,77,100,9.77,US,1676081258
12,busselton,-33.65,115.3333,21.46,42,0,3.68,AU,1676081048
13,poum,-20.2333,164.0167,27.65,75,89,9.25,NC,1676081260
14,port alfred,-33.5906,26.891,21.21,93,100,0.45,ZA,1676081260
15,nemuro,43.3236,145.575,-2.02,86,100,5.63,JP,1676081261
16,benjamin aceval,-24.9667,-57.5667,25.08,81,10,2.9,PY,1676081261
17,hermanus,-34.4187,19.2345,19.89,80,0,4.56,ZA,1676081262
18,constitucion,-35.3333,-72.4167,15.03,73,0,6.96,CL,1676081263
19,georgetown,5.4112,100.3354,28.96,74,20,2.06,MY,1676081263
20,avarua,-21.2078,-159.775,28.03,78,20,4.63,CK,1676081264
21,klaksvik,62.2266,-6.589,8.51,83,100,10.62,FO,1676081264
22,castro,-24.7911,-50.0119,16.96,97,99,2.2,BR,1676081265
23,borazjan,29.2666,51.2159,10.06,53,1,0.16,IR,1676081265
24,albany,42.6001,-73.9662,5.2,72,41,5.38,US,1676081176
25,grand forks,47.9417,-97.4337,-4.04,80,0,6.17,US,1676081266
26,ushuaia,-54.8,-68.3,5.99,92,19,3.14,AR,1676081267
27,vaini,-21.2,-175.2,24.09,100,100,5.14,TO,1676081267
28,burley,42.5357,-113.7928,-0.95,70,0,7.2,US,1676081268
29,upernavik,72.7868,-56.1549,-26.78,93,100,2.34,GL,1676081269
30,padang,-0.9492,100.3543,26.03,72,36,2.04,ID,1676081269
31,bilibino,68.0546,166.4372,-38.81,97,98,0.34,RU,1676081270
32,hualmay,-11.0964,-77.6139,22.82,84,100,3.2,PE,1676081270
33,kaitangata,-46.2817,169.8464,17.24,63,56,5.14,NZ,1676080973
34,viedma,-40.8135,-62.9967,23.3,55,0,6.16,AR,1676081271
35,new norfolk,-42.7826,147.0587,22.62,43,13,1.36,AU,1676081272
36,kondopoga,62.2057,34.2614,-6.29,89,48,4.76,RU,1676081272
37,unhel,23.3333,75.5667,16.94,38,0,3.37,IN,1676081273
38,narsaq,60.9167,-46.05,-6.88,97,63,1.33,GL,1676081273
39,jining,35.405,116.5814,6.53,72,88,4.22,CN,1676081274
40,la asuncion,11.0333,-63.8628,24.3,83,2,7.1,VE,1676081274
41,pisco,-13.7,-76.2167,24.03,83,20,4.12,PE,1676081275
42,dingle,10.9995,122.6711,27.67,72,86,6.42,PH,1676081276
43,kapaa,22.0752,-159.319,26.18,67,100,9.26,US,1676081276
44,huarmey,-10.0681,-78.1522,22.45,85,99,3.02,PE,1676081277
45,yelizovo,53.1873,158.3805,-9.92,48,20,3.0,RU,1676081277
46,nome,64.5011,-165.4064,-15.96,66,0,10.29,US,1676081278
47,balkanabat,39.5108,54.3671,-0.96,58,16,1.91,TM,1676081278
48,thompson,55.7435,-97.8558,-8.5,97,100,2.51,CA,1676081279
49,salalah,17.0151,54.0924,24.05,27,0,5.66,OM,1676081279
50,bluff,-46.6,168.3333,20.45,65,44,6.24,NZ,1676081280
51,hithadhoo,-0.6,73.0833,27.41,66,28,4.55,MV,1676081280
52,lompoc,34.6391,-120.4579,12.55,81,75,8.94,US,1676081281
53,leningradskiy,69.3833,178.4167,-29.05,96,100,5.28,RU,1676081282
54,butka,56.7179,63.7866,-6.0,96,100,3.18,RU,1676081283
55,pangnirtung,66.1451,-65.7125,-38.23,93,89,1.21,CA,1676081238
56,andapa,-14.65,49.65,18.87,98,55,0.9,MG,1676081105
57,shakawe,-18.3667,21.85,21.46,60,95,1.32,BW,1676081284
58,razdolnoye,43.55,131.9167,-1.77,85,100,1.61,RU,1676081284
59,jalu,29.0331,21.5482,11.05,66,0,3.89,LY,1676081285
60,saint george,37.1041,-113.5841,11.33,19,0,5.14,US,1676081286
61,half moon bay,37.4636,-122.4286,11.75,79,100,9.77,US,1676081085
62,kodiak,57.79,-152.4072,2.73,81,75,2.06,US,1676081287
63,beipiao,41.7919,120.7792,2.63,58,55,3.04,CN,1676081288
64,tasiilaq,65.6145,-37.6368,-6.91,97,100,0.64,GL,1676081035
65,los llanos de aridane,28.6585,-17.9182,13.86,92,75,1.03,ES,1676081289
66,saskylakh,71.9167,114.0833,-43.38,99,58,3.21,RU,1676081290
67,ust-kuyga,70.0167,135.6,-42.79,99,100,2.62,RU,1676081290
68,cabo san lucas,22.8909,-109.9124,23.17,37,20,3.6,MX,1676081259
69,beloha,-25.1667,45.05,21.63,87,26,1.7,MG,1676081291
70,portland,45.5234,-122.6762,11.33,80,46,1.79,US,1676080632
71,evensk,61.95,159.2333,-16.83,68,100,6.15,RU,1676081292
72,bredasdorp,-34.5322,20.0403,19.24,89,0,3.68,ZA,1676081293
73,taoudenni,22.6783,-3.9836,21.43,15,100,10.03,ML,1676081294
74,ancud,-41.8697,-73.8203,13.98,82,57,3.16,CL,1676081294
75,esperance,-33.8667,121.9,19.92,62,55,6.15,AU,1676081295
